litehtml 0.10-1
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lua 5.5.1-1
lua54 5.4.9-1
luajit 2.1.1787165859+1ee778a-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
matugen 4.2.0-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.2.1-1
meson 1.12.0-1
milou 6.7.4-1
minizip 1:1.3.2-3
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.29.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-6
mpvpaper 1.9-1
mpvpaper-debug 1.9-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
nano 9.2-1
ncurses 6.6-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
networkmanager-qt 6.29.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.128-1
ntsync-autoload 1-1
nvidia-open 610.57.04-11
nvidia-utils 610.57.04-1
ocean-sound-theme 6.7.4-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
orc 0.4.43-1
otf-space-grotesk 2-2
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm 2.46.5-1
parted 3.7-1
patch 2.8-1
pavucontrol-qt 2.4.0-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
pdfio 1.6.5-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.6-1
plasma-activities 6.7.4-1
plasma-activities-stats 6.7.4-1
plasma-browser-integration 6.7.4-1
plasma-integration 6.7.4-5
plasma-nm 6.7.4-1
plasma-workspace 6.7.4-3
playerctl 2.4.1-5
polkit 127-3
polkit-kde-agent 6.7.4-1
polkit-qt6 0.201.1-1
poppler 26.08.0-1
poppler-qt6 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
potrace 1.16-5
power-profiles-daemon 0.30-1
ppp 2.5.3-1
prison 6.29.0-1
procps-ng 4.0.7-1
protobuf 36.0-1
protobuf-c 1.5.2-14
psmisc 23.7-2
pugixml 1.16-1
purpose 6.29.0-1
python 3.14.7-1
python-autocommand 2.2.2-9
python-cairo 1.29.1-1
python-dbus 1.4.0-2
python-gobject 3.56.3-1
python-html2text 2025.4.15-2
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-mako 1.3.12-1
python-markdown 3.10.3-1
python-markupsafe 3.0.3-1
python-more-itertools 11.1.0-1
python-packaging 26.3-1
python-platformdirs 4.11.7-1
python-pycups 2.0.4-4
python-pyxdg 0.28-7
python-setuptools 1:84.0.0-1
python-tqdm 4.70.0-1
python-wheel 0.48.0-1
qca-qt6 2.3.12-1
qcoro 0.13.0-2
qqc2-breeze-style 6.7.4-1
qqc2-desktop-style 6.29.0-2
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt6-5compat 6.11.2-1
qt6-avif-image-plugin 0.10.1-1
qt6-base 6.11.2-3
qt6-declarative 6.11.2-1
qt6-imageformats 6.11.2-1
qt6-location 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-positioning 6.11.2-1
qt6-quicktimeline 6.11.2-1
qt6-sensors 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-speech 6.11.2-1
qt6-svg 6.11.2-1
qt6-tools 6.11.2-1
qt6-translations 6.11.2-1
qt6-virtualkeyboard 6.11.2-1
qt6-wayland 6.11.2-1
qt6-webchannel 6.11.2-1
qt6-webengine 6.11.2-1
qt6-websockets 6.11.2-1
qtkeychain-qt6 0.17.0-1
quickshell 0.3.1-1
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
resvg 0.48.1-1
rhash 1.4.6-1
ripgrep 15.2.0-1
ripgrep-all 0.10.10-2
rsync 3.5.0-1
rubberband 4.0.0-2
sbc 2.2-1
scdoc 1.11.5-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
seatd 0.9.3-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
signon-kwallet-extension 26.08.0-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-4
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
smbclient 2:4.24.6-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
solid 6.29.0-1
songrec 0.7.5-1
sonnet 6.29.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
speex 1.2.1-2
